{'stationid': 84, 'city': 'Brasov', 'temp': 4, 'rain': 0.98, 'wind': 3, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 34, 'city': 'Cluj', 'temp': -5, 'rain': 1.0, 'wind': 18, 'direction': 'NW', 'date': '2.01.2023'} 
{'stationid': 26, 'city': 'Brasov', 'temp': -1, 'rain': 0.49, 'wind': 2, 'direction': 'NE', 'date': '2.01.2023'} 
{'stationid': 77, 'city': 'Pascani', 'temp': 16, 'rain': 0.57, 'wind': 28, 'direction': 'E', 'date': '1.01.2023'} 
{'stationid': 19, 'city': 'Cluj', 'temp': 18, 'rain': 0.02, 'wind': 24, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 38, 'city': 'Brasov', 'temp': 34, 'rain': 0.91, 'wind': 14, 'direction': 'N', 'date': '4.01.2023'} 
{'stationid': 6, 'city': 'Brasov', 'temp': 16, 'rain': 0.56, 'wind': 9, 'direction': 'W', 'date': '4.01.2023'} 
{'stationid': 71, 'city': 'Pascani', 'temp': 28, 'rain': 0.23, 'wind': 12, 'direction': 'NW', 'date': '3.01.2023'} 
{'stationid': 46, 'city': 'Pascani', 'temp': 2, 'rain': 0.76, 'wind': 5, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 10, 'city': 'Cluj', 'temp': 13, 'rain': 0.39, 'wind': 12, 'direction': 'SW', 'date': '1.01.2023'} 
{'stationid': 26, 'city': 'Cluj', 'temp': 6, 'rain': 0.05, 'wind': 4, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 98, 'city': 'Pascani', 'temp': 24, 'rain': 0.01, 'wind': 1, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 80, 'city': 'Cluj', 'temp': -10, 'rain': 0.85, 'wind': 11, 'direction': 'SE', 'date': '2.01.2023'} 
{'stationid': 40, 'city': 'Pascani', 'temp': 37, 'rain': 0.89, 'wind': 13, 'direction': 'E', 'date': '4.01.2023'} 
{'stationid': 80, 'city': 'Pascani', 'temp': 40, 'rain': 0.39, 'wind': 26, 'direction': 'N', 'date': '2.01.2023'} 
{'stationid': 14, 'city': 'Pascani', 'temp': 37, 'rain': 0.48, 'wind': 22, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 67, 'city': 'Cluj', 'temp': 13, 'rain': 0.18, 'wind': 24, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 48, 'city': 'Pascani', 'temp': 18, 'rain': 0.49, 'wind': 16, 'direction': 'S', 'date': '4.01.2023'} 
{'stationid': 92, 'city': 'Pascani', 'temp': -3, 'rain': 0.17, 'wind': 10, 'direction': 'SW', 'date': '1.01.2023'} 
{'stationid': 66, 'city': 'Brasov', 'temp': 13, 'rain': 0.71, 'wind': 6, 'direction': 'NW', 'date': '1.01.2023'} 
{'stationid': 78, 'city': 'Brasov', 'temp': 12, 'rain': 0.94, 'wind': 0, 'direction': 'S', 'date': '1.01.2023'} 
{'stationid': 43, 'city': 'Pascani', 'temp': 16, 'rain': 0.71, 'wind': 25, 'direction': 'W', 'date': '2.01.2023'} 
{'stationid': 81, 'city': 'Brasov', 'temp': 19, 'rain': 0.96, 'wind': 16, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 39, 'city': 'Brasov', 'temp': 20, 'rain': 0.82, 'wind': 4, 'direction': 'N', 'date': '2.01.2023'} 
{'stationid': 72, 'city': 'Cluj', 'temp': -7, 'rain': 0.08, 'wind': 7, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 12, 'city': 'Pascani', 'temp': 5, 'rain': 0.19, 'wind': 21, 'direction': 'N', 'date': '2.01.2023'} 
{'stationid': 43, 'city': 'Cluj', 'temp': 33, 'rain': 0.57, 'wind': 7, 'direction': 'SE', 'date': '3.01.2023'} 
{'stationid': 13, 'city': 'Pascani', 'temp': 39, 'rain': 0.49, 'wind': 23, 'direction': 'E', 'date': '3.01.2023'} 
{'stationid': 53, 'city': 'Cluj', 'temp': 22, 'rain': 0.22, 'wind': 3, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 98, 'city': 'Cluj', 'temp': 25, 'rain': 0.5, 'wind': 20, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 30, 'city': 'Pascani', 'temp': 4, 'rain': 0.9, 'wind': 21, 'direction': 'W', 'date': '4.01.2023'} 
{'stationid': 20, 'city': 'Brasov', 'temp': -1, 'rain': 0.84, 'wind': 30, 'direction': 'NW', 'date': '1.01.2023'} 
{'stationid': 53, 'city': 'Pascani', 'temp': 18, 'rain': 0.53, 'wind': 17, 'direction': 'SE', 'date': '3.01.2023'} 
{'stationid': 60, 'city': 'Pascani', 'temp': -7, 'rain': 0.23, 'wind': 12, 'direction': 'S', 'date': '1.01.2023'} 
{'stationid': 45, 'city': 'Brasov', 'temp': 30, 'rain': 0.51, 'wind': 19, 'direction': 'NE', 'date': '1.01.2023'} 
{'stationid': 98, 'city': 'Cluj', 'temp': 15, 'rain': 0.95, 'wind': 3, 'direction': 'SW', 'date': '2.01.2023'} 
{'stationid': 70, 'city': 'Brasov', 'temp': 16, 'rain': 0.9, 'wind': 14, 'direction': 'W', 'date': '2.01.2023'} 
{'stationid': 62, 'city': 'Cluj', 'temp': -10, 'rain': 0.08, 'wind': 1, 'direction': 'S', 'date': '1.01.2023'} 
{'stationid': 77, 'city': 'Brasov', 'temp': 30, 'rain': 0.9, 'wind': 28, 'direction': 'S', 'date': '2.01.2023'} 
{'stationid': 70, 'city': 'Pascani', 'temp': 37, 'rain': 0.38, 'wind': 7, 'direction': 'SE', 'date': '1.01.2023'} 
{'stationid': 25, 'city': 'Brasov', 'temp': 22, 'rain': 0.99, 'wind': 14, 'direction': 'E', 'date': '1.01.2023'} 
{'stationid': 56, 'city': 'Cluj', 'temp': -10, 'rain': 0.92, 'wind': 2, 'direction': 'S', 'date': '4.01.2023'} 
{'stationid': 16, 'city': 'Brasov', 'temp': 4, 'rain': 0.93, 'wind': 25, 'direction': 'NW', 'date': '2.01.2023'} 
{'stationid': 55, 'city': 'Cluj', 'temp': 12, 'rain': 0.86, 'wind': 26, 'direction': 'NE', 'date': '3.01.2023'} 
{'stationid': 79, 'city': 'Pascani', 'temp': 28, 'rain': 0.76, 'wind': 13, 'direction': 'NW', 'date': '1.01.2023'} 
{'stationid': 79, 'city': 'Pascani', 'temp': -2, 'rain': 0.47, 'wind': 30, 'direction': 'SE', 'date': '4.01.2023'} 
{'stationid': 41, 'city': 'Cluj', 'temp': 29, 'rain': 0.47, 'wind': 19, 'direction': 'SE', 'date': '2.01.2023'} 
{'stationid': 22, 'city': 'Pascani', 'temp': 14, 'rain': 0.68, 'wind': 14, 'direction': 'E', 'date': '3.01.2023'} 
{'stationid': 20, 'city': 'Cluj', 'temp': 24, 'rain': 0.0, 'wind': 2, 'direction': 'S', 'date': '4.01.2023'} 
{'stationid': 47, 'city': 'Brasov', 'temp': 21, 'rain': 0.74, 'wind': 13, 'direction': 'NE', 'date': '2.01.2023'} 
{'stationid': 70, 'city': 'Brasov', 'temp': 7, 'rain': 0.58, 'wind': 13, 'direction': 'S', 'date': '1.01.2023'} 
{'stationid': 2, 'city': 'Cluj', 'temp': 31, 'rain': 0.3, 'wind': 8, 'direction': 'E', 'date': '3.01.2023'} 
{'stationid': 64, 'city': 'Brasov', 'temp': 37, 'rain': 0.55, 'wind': 11, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 20, 'city': 'Pascani', 'temp': 37, 'rain': 0.71, 'wind': 21, 'direction': 'E', 'date': '4.01.2023'} 
{'stationid': 38, 'city': 'Brasov', 'temp': 39, 'rain': 0.06, 'wind': 23, 'direction': 'SE', 'date': '3.01.2023'} 
{'stationid': 16, 'city': 'Brasov', 'temp': 24, 'rain': 0.96, 'wind': 3, 'direction': 'N', 'date': '1.01.2023'} 
{'stationid': 60, 'city': 'Brasov', 'temp': 29, 'rain': 0.43, 'wind': 13, 'direction': 'S', 'date': '4.01.2023'} 
{'stationid': 55, 'city': 'Pascani', 'temp': 1, 'rain': 0.12, 'wind': 14, 'direction': 'NW', 'date': '2.01.2023'} 
{'stationid': 95, 'city': 'Brasov', 'temp': 30, 'rain': 0.72, 'wind': 8, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 90, 'city': 'Pascani', 'temp': 21, 'rain': 0.32, 'wind': 30, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 65, 'city': 'Cluj', 'temp': -5, 'rain': 0.78, 'wind': 3, 'direction': 'SE', 'date': '4.01.2023'} 
{'stationid': 64, 'city': 'Pascani', 'temp': 29, 'rain': 0.04, 'wind': 12, 'direction': 'SE', 'date': '1.01.2023'} 
{'stationid': 16, 'city': 'Pascani', 'temp': 38, 'rain': 0.92, 'wind': 25, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 57, 'city': 'Pascani', 'temp': 9, 'rain': 0.63, 'wind': 4, 'direction': 'SE', 'date': '4.01.2023'} 
{'stationid': 100, 'city': 'Brasov', 'temp': -8, 'rain': 0.75, 'wind': 0, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 80, 'city': 'Brasov', 'temp': 0, 'rain': 0.37, 'wind': 25, 'direction': 'W', 'date': '4.01.2023'} 
{'stationid': 73, 'city': 'Brasov', 'temp': 1, 'rain': 0.39, 'wind': 6, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 95, 'city': 'Brasov', 'temp': 33, 'rain': 0.1, 'wind': 27, 'direction': 'N', 'date': '3.01.2023'} 
{'stationid': 2, 'city': 'Pascani', 'temp': 1, 'rain': 0.62, 'wind': 28, 'direction': 'NE', 'date': '4.01.2023'} 
{'stationid': 40, 'city': 'Cluj', 'temp': 1, 'rain': 0.18, 'wind': 15, 'direction': 'E', 'date': '3.01.2023'} 
{'stationid': 33, 'city': 'Brasov', 'temp': 1, 'rain': 0.75, 'wind': 12, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 26, 'city': 'Brasov', 'temp': 6, 'rain': 0.64, 'wind': 3, 'direction': 'N', 'date': '1.01.2023'} 
{'stationid': 61, 'city': 'Pascani', 'temp': 35, 'rain': 0.86, 'wind': 23, 'direction': 'NW', 'date': '1.01.2023'} 
{'stationid': 71, 'city': 'Brasov', 'temp': 33, 'rain': 0.15, 'wind': 12, 'direction': 'SE', 'date': '4.01.2023'} 
{'stationid': 77, 'city': 'Cluj', 'temp': 38, 'rain': 0.29, 'wind': 3, 'direction': 'SE', 'date': '2.01.2023'} 
{'stationid': 54, 'city': 'Brasov', 'temp': -5, 'rain': 0.08, 'wind': 18, 'direction': 'NE', 'date': '3.01.2023'} 
{'stationid': 41, 'city': 'Brasov', 'temp': 16, 'rain': 0.78, 'wind': 13, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 54, 'city': 'Brasov', 'temp': 31, 'rain': 0.35, 'wind': 15, 'direction': 'W', 'date': '1.01.2023'} 
{'stationid': 20, 'city': 'Cluj', 'temp': 37, 'rain': 0.69, 'wind': 24, 'direction': 'W', 'date': '4.01.2023'} 
{'stationid': 86, 'city': 'Pascani', 'temp': -2, 'rain': 0.61, 'wind': 29, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 34, 'city': 'Cluj', 'temp': -6, 'rain': 0.19, 'wind': 5, 'direction': 'SW', 'date': '2.01.2023'} 
{'stationid': 13, 'city': 'Pascani', 'temp': 24, 'rain': 0.02, 'wind': 22, 'direction': 'SE', 'date': '3.01.2023'} 
{'stationid': 29, 'city': 'Cluj', 'temp': -8, 'rain': 0.94, 'wind': 27, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 85, 'city': 'Brasov', 'temp': 5, 'rain': 0.43, 'wind': 13, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 95, 'city': 'Brasov', 'temp': 29, 'rain': 0.38, 'wind': 28, 'direction': 'NW', 'date': '3.01.2023'} 
{'stationid': 18, 'city': 'Pascani', 'temp': 25, 'rain': 0.45, 'wind': 25, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 20, 'city': 'Brasov', 'temp': 36, 'rain': 0.8, 'wind': 1, 'direction': 'NE', 'date': '3.01.2023'} 
{'stationid': 63, 'city': 'Pascani', 'temp': 22, 'rain': 0.38, 'wind': 1, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 88, 'city': 'Pascani', 'temp': -9, 'rain': 0.65, 'wind': 2, 'direction': 'N', 'date': '4.01.2023'} 
{'stationid': 51, 'city': 'Pascani', 'temp': -2, 'rain': 0.06, 'wind': 9, 'direction': 'NW', 'date': '4.01.2023'} 
{'stationid': 32, 'city': 'Cluj', 'temp': -5, 'rain': 0.69, 'wind': 23, 'direction': 'SE', 'date': '1.01.2023'} 
{'stationid': 36, 'city': 'Cluj', 'temp': 39, 'rain': 0.61, 'wind': 16, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 51, 'city': 'Pascani', 'temp': 17, 'rain': 0.55, 'wind': 21, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 99, 'city': 'Brasov', 'temp': 40, 'rain': 0.72, 'wind': 18, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 83, 'city': 'Pascani', 'temp': 29, 'rain': 0.98, 'wind': 19, 'direction': 'SE', 'date': '4.01.2023'} 
{'stationid': 62, 'city': 'Cluj', 'temp': 40, 'rain': 0.96, 'wind': 4, 'direction': 'SE', 'date': '2.01.2023'} 
{'stationid': 53, 'city': 'Cluj', 'temp': 20, 'rain': 0.3, 'wind': 3, 'direction': 'E', 'date': '1.01.2023'} 
{'stationid': 30, 'city': 'Pascani', 'temp': 26, 'rain': 0.82, 'wind': 19, 'direction': 'SE', 'date': '1.01.2023'} 
{'stationid': 24, 'city': 'Cluj', 'temp': 15, 'rain': 0.54, 'wind': 19, 'direction': 'SE', 'date': '4.01.2023'} 
{'stationid': 53, 'city': 'Brasov', 'temp': 10, 'rain': 0.41, 'wind': 17, 'direction': 'W', 'date': '1.01.2023'} 
{'stationid': 35, 'city': 'Cluj', 'temp': 40, 'rain': 0.55, 'wind': 4, 'direction': 'W', 'date': '1.01.2023'} 
{'stationid': 43, 'city': 'Cluj', 'temp': 19, 'rain': 0.86, 'wind': 10, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 88, 'city': 'Pascani', 'temp': 8, 'rain': 0.6, 'wind': 13, 'direction': 'SE', 'date': '3.01.2023'} 
{'stationid': 34, 'city': 'Pascani', 'temp': -9, 'rain': 0.22, 'wind': 1, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 25, 'city': 'Cluj', 'temp': 12, 'rain': 0.35, 'wind': 19, 'direction': 'NE', 'date': '4.01.2023'} 
{'stationid': 13, 'city': 'Brasov', 'temp': 33, 'rain': 0.72, 'wind': 25, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 13, 'city': 'Cluj', 'temp': 10, 'rain': 0.68, 'wind': 0, 'direction': 'W', 'date': '4.01.2023'} 
{'stationid': 46, 'city': 'Brasov', 'temp': 26, 'rain': 0.24, 'wind': 28, 'direction': 'NE', 'date': '1.01.2023'} 
{'stationid': 83, 'city': 'Brasov', 'temp': 30, 'rain': 0.44, 'wind': 23, 'direction': 'S', 'date': '1.01.2023'} 
{'stationid': 42, 'city': 'Pascani', 'temp': 39, 'rain': 0.92, 'wind': 21, 'direction': 'N', 'date': '4.01.2023'} 
{'stationid': 11, 'city': 'Cluj', 'temp': 26, 'rain': 0.69, 'wind': 27, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 32, 'city': 'Brasov', 'temp': 33, 'rain': 0.2, 'wind': 18, 'direction': 'SE', 'date': '1.01.2023'} 
{'stationid': 1, 'city': 'Brasov', 'temp': 21, 'rain': 0.16, 'wind': 13, 'direction': 'SW', 'date': '1.01.2023'} 
{'stationid': 67, 'city': 'Cluj', 'temp': 27, 'rain': 0.25, 'wind': 2, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 13, 'city': 'Brasov', 'temp': -5, 'rain': 0.22, 'wind': 28, 'direction': 'SE', 'date': '3.01.2023'} 
{'stationid': 75, 'city': 'Brasov', 'temp': 24, 'rain': 0.38, 'wind': 14, 'direction': 'S', 'date': '4.01.2023'} 
{'stationid': 12, 'city': 'Pascani', 'temp': 27, 'rain': 0.3, 'wind': 18, 'direction': 'SW', 'date': '2.01.2023'} 
{'stationid': 25, 'city': 'Cluj', 'temp': 1, 'rain': 0.38, 'wind': 7, 'direction': 'N', 'date': '1.01.2023'} 
{'stationid': 41, 'city': 'Cluj', 'temp': 4, 'rain': 0.34, 'wind': 1, 'direction': 'NW', 'date': '2.01.2023'} 
{'stationid': 17, 'city': 'Cluj', 'temp': 8, 'rain': 0.16, 'wind': 10, 'direction': 'NE', 'date': '4.01.2023'} 
{'stationid': 26, 'city': 'Brasov', 'temp': -8, 'rain': 0.99, 'wind': 13, 'direction': 'S', 'date': '2.01.2023'} 
{'stationid': 19, 'city': 'Brasov', 'temp': 12, 'rain': 0.9, 'wind': 25, 'direction': 'E', 'date': '1.01.2023'} 
{'stationid': 85, 'city': 'Pascani', 'temp': -8, 'rain': 0.3, 'wind': 23, 'direction': 'S', 'date': '2.01.2023'} 
{'stationid': 20, 'city': 'Cluj', 'temp': 23, 'rain': 0.72, 'wind': 26, 'direction': 'NE', 'date': '4.01.2023'} 
{'stationid': 38, 'city': 'Pascani', 'temp': -2, 'rain': 0.23, 'wind': 22, 'direction': 'E', 'date': '1.01.2023'} 
{'stationid': 18, 'city': 'Pascani', 'temp': -7, 'rain': 0.12, 'wind': 17, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 56, 'city': 'Pascani', 'temp': 9, 'rain': 0.44, 'wind': 1, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 77, 'city': 'Cluj', 'temp': 11, 'rain': 0.14, 'wind': 8, 'direction': 'NW', 'date': '3.01.2023'} 
{'stationid': 80, 'city': 'Cluj', 'temp': 16, 'rain': 0.33, 'wind': 21, 'direction': 'SE', 'date': '2.01.2023'} 
{'stationid': 96, 'city': 'Cluj', 'temp': 7, 'rain': 0.79, 'wind': 14, 'direction': 'S', 'date': '1.01.2023'} 
{'stationid': 88, 'city': 'Brasov', 'temp': 4, 'rain': 0.67, 'wind': 22, 'direction': 'E', 'date': '1.01.2023'} 
{'stationid': 40, 'city': 'Cluj', 'temp': 2, 'rain': 0.67, 'wind': 20, 'direction': 'NE', 'date': '3.01.2023'} 
{'stationid': 0, 'city': 'Pascani', 'temp': 16, 'rain': 0.51, 'wind': 30, 'direction': 'E', 'date': '4.01.2023'} 
{'stationid': 77, 'city': 'Cluj', 'temp': 24, 'rain': 0.16, 'wind': 13, 'direction': 'NW', 'date': '2.01.2023'} 
{'stationid': 33, 'city': 'Cluj', 'temp': 21, 'rain': 0.59, 'wind': 16, 'direction': 'NE', 'date': '4.01.2023'} 
{'stationid': 66, 'city': 'Pascani', 'temp': 37, 'rain': 0.05, 'wind': 25, 'direction': 'N', 'date': '3.01.2023'} 
{'stationid': 88, 'city': 'Cluj', 'temp': -2, 'rain': 0.36, 'wind': 17, 'direction': 'N', 'date': '4.01.2023'} 
{'stationid': 54, 'city': 'Brasov', 'temp': 12, 'rain': 0.35, 'wind': 30, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 90, 'city': 'Pascani', 'temp': 19, 'rain': 0.68, 'wind': 13, 'direction': 'NW', 'date': '2.01.2023'} 
{'stationid': 39, 'city': 'Pascani', 'temp': 10, 'rain': 0.7, 'wind': 16, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 72, 'city': 'Cluj', 'temp': 22, 'rain': 0.21, 'wind': 11, 'direction': 'S', 'date': '2.01.2023'} 
{'stationid': 25, 'city': 'Pascani', 'temp': 24, 'rain': 0.75, 'wind': 27, 'direction': 'NE', 'date': '4.01.2023'} 
{'stationid': 41, 'city': 'Pascani', 'temp': -6, 'rain': 0.08, 'wind': 27, 'direction': 'SW', 'date': '2.01.2023'} 
{'stationid': 48, 'city': 'Pascani', 'temp': -4, 'rain': 0.3, 'wind': 7, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 17, 'city': 'Cluj', 'temp': 34, 'rain': 0.12, 'wind': 30, 'direction': 'NE', 'date': '3.01.2023'} 
{'stationid': 76, 'city': 'Cluj', 'temp': -6, 'rain': 0.84, 'wind': 15, 'direction': 'NE', 'date': '4.01.2023'} 
{'stationid': 23, 'city': 'Pascani', 'temp': 30, 'rain': 0.6, 'wind': 30, 'direction': 'SE', 'date': '4.01.2023'} 
{'stationid': 58, 'city': 'Pascani', 'temp': -10, 'rain': 0.61, 'wind': 16, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 75, 'city': 'Pascani', 'temp': 8, 'rain': 0.91, 'wind': 13, 'direction': 'E', 'date': '3.01.2023'} 
{'stationid': 58, 'city': 'Pascani', 'temp': 17, 'rain': 0.63, 'wind': 14, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 84, 'city': 'Brasov', 'temp': 7, 'rain': 0.8, 'wind': 21, 'direction': 'W', 'date': '1.01.2023'} 
{'stationid': 39, 'city': 'Pascani', 'temp': 6, 'rain': 0.93, 'wind': 5, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 24, 'city': 'Brasov', 'temp': 35, 'rain': 0.97, 'wind': 12, 'direction': 'W', 'date': '1.01.2023'} 
{'stationid': 44, 'city': 'Pascani', 'temp': -1, 'rain': 0.74, 'wind': 0, 'direction': 'S', 'date': '4.01.2023'} 
{'stationid': 29, 'city': 'Brasov', 'temp': 39, 'rain': 0.6, 'wind': 12, 'direction': 'N', 'date': '3.01.2023'} 
{'stationid': 0, 'city': 'Cluj', 'temp': 2, 'rain': 0.41, 'wind': 10, 'direction': 'N', 'date': '2.01.2023'} 
{'stationid': 30, 'city': 'Brasov', 'temp': 40, 'rain': 0.69, 'wind': 2, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 2, 'city': 'Cluj', 'temp': 12, 'rain': 0.62, 'wind': 9, 'direction': 'NE', 'date': '3.01.2023'} 
{'stationid': 35, 'city': 'Cluj', 'temp': 0, 'rain': 0.9, 'wind': 6, 'direction': 'N', 'date': '2.01.2023'} 
